"ID"	"LABEL"	"CATEGORY"
60	"Kathryn Van Arendonk"	"Individual"
61	"Glen Worthey"	"Individual"
62	"Connie Zhu "	"Individual"
63	"Kelly Bodwin"	"Individual"
64	"Anita Law"	"Individual"
65	"Federica Perazzini"	"Individual"
66	"Allen Riddell "	"Individual"
67	"Michael Witmore"	"Individual"
68	"Network theory and plot analysis"	"Product"
70	"Borderline Semantics/Stylistics: Tracking semantic field behavior in nineteenth-century novels"	"Product"
71	"The Chapter as Structure in the Nineteenth-Century Novel"	"Product"
72	"Nadeen Kharputly"	"Individual"
73	"Humanities Digital Information Service"	"Group"
74	"DH2011"	"Group"
75	"ATS Program"	"Group"
76	"Academic Technology Lab"	"Group"
77	"Academic Computing Services"	"Group"
78	"Nicole Coleman"	"Individual"
79	"Claudia Engel"	"Individual"
80	"Vijoy Abraham"	"Individual"
81	"Zach Chandler"	"Individual"
82	"Carlos Seligo"	"Individual"
83	"Ken Romeo"	"Individual"
84	"Joseph Kautz"	"Individual"
85	"Elijah Meeks"	"Individual"
86	"Kimberly Hayworth"	"Individual"
87	"Language Center"	"Group"
88	"Arcade"	"Product"
89	"Republics of Letters"	"Product"
90	"Occasion"	"Product"
91	"Mantis"	"Product"
92	"Telos Press"	"Product"
93	"Roland Greene"	"Individual"
94	"Natalia Cecire"	"Individual"
95	"Marissa Gemma"	"Individual"
96	"Meredith Ramirez Talusan"	"Individual"
97	"Johaina Crisostomo"	"Individual"
98	"Rey Chow"	"Individual"
99	"Margaret Cohen"	"Individual"
100	"Ian Duncan"	"Individual"
101	"Jody Greene"	"Individual"
102	"Timothy Hampton"	"Individual"
103	"Joshua Landy"	"Individual"
104	"Ramón Saldívar"	"Individual"
105	"Katie Trumpener"	"Individual"
106	"Blakey Vermeule"	"Individual"
107	"John Bender"	"Individual"
108	"Russell Berman"	"Individual"
109	"Claire Bowen"	"Individual"
110	"Mary Baine Campbell"	"Individual"
111	"Johanna Drucker"	"Individual"
112	"Gregory Freidin"	"Individual"
113	"Joanna Guldi"	"Individual"
114	"Hans Ulrich Gumbrecht"	"Individual"
115	"Ursula K. Heise"	"Individual"
116	"Nicholas Jenkins"	"Individual"
117	"Nicole Lopez"	"Individual"
118	"David Lee Miller"	"Individual"
119	"Haun Saussy"	"Individual"
121	"John Willinsky"	"Individual"
122	"UC Berkeley"	"Group"
123	"Cornell"	"Group"
223	"Henrik Bennetsen"	"Individual"
124	"Duke"	"Group"
125	"UC Santa Cruz"	"Group"
126	"Yale"	"Group"
127	"Dickenson"	"Group"
128	"Brandeis"	"Group"
129	"UCLA"	"Group"
130	"Chicago"	"Group"
131	"Harvard"	"Group"
132	"South Carolina"	"Group"
133	"British Columbia"	"Group"
134	"Athanasius Kircher Case Study"	"Product"
135	"John Locke Case Study"	"Product"
136	"Carlos Sigüenza y Gongora and Eusebio Kino Case Study"	"Product"
137	"John Hull Case Study"	"Product"
138	"The Mather Family Library Case Study"	"Product"
139	"Voltaire Case Study"	"Product"
140	"Benjamin Franklin Case Study"	"Product"
141	"The Grand Tour Travelers Case Study"	"Product"
142	"Library Company of Philadelphia Case Study"	"Product"
143	"The Journey of Francesco Algaroitti and His Book Case Study"	"Product"
144	"Antonio Vallisneri Case Study"	"Product"
145	"Laura Bassi Case Study"	"Product"
146	"Sir William Hershel Case Study"	"Product"
147	"Biliana Kasabova"	"Individual"
148	"Maria Comsa"	"Individual"
149	"Caroline Winterer"	"Individual"
150	"Julia Mansfield"	"Individual"
151	"Scott Spillman"	"Individual"
152	"Sarah Murray"	"Individual"
153	"Molly Taylor"	"Individual"
154	"James Wood"	"Individual"
155	"Nikesh Patel"	"Individual"
156	"Paula Findlen"	"Individual"
157	"Lydia Barnett"	"Individual"
158	"Marta Cavazza"	"Individual"
159	"Jessica Rishken"	"Individual"
160	"Jenny Pegg"	"Individual"
161	"Suzanne Sutherland"	"Individual"
162	"Iva Lelkova"	"Individual"
163	"Claude Willan"	"Individual"
164	"Marcelo Aranda"	"Individual"
165	"Mark Peterson"	"Individual"
166	"Hannah Farber"	"Individual"
167	"Alison Weiss"	"Individual"
168	"University of Bologna"	"Group"
169	"Charles University, Prague"	"Group"
170	"Electronic Enlightenment"	"Group"
171	"Cultures of Knowledge"	"Group"
172	"Circulation of Knowledge and Learned Practices in 17th Century Dutch Republic"	"Group"
173	"Tooling Up for Digital Histories"	"Group"
174	"Richard White"	"Individual"
175	"Jon Christensen"	"Individual"
176	"Andrew Gerhart"	"Individual"
177	"Michael Kahan"	"Individual"
179	"Matthew Booker"	"Individual"
282	"AIMS Project"	"Group"
180	"Shaping the West"	"Product"
181	"Terrain of History"	"Product"
182	"Critical Habitat"	"Product"
183	"Between the Tides"	"Product"
184	"Holocaust Geographies"	"Product"
185	"Mapping Vice in Early Twentieth-Century Philadelphia"	"Product"
186	"Chile's Aquaculture Industry, 1950-2000"	"Product"
187	"Project Steel Beta"	"Product"
188	"Erik Steiner"	"Individual"
189	"Cécile Alduy"	"Individual"
190	"Division of Literatures, Cultures, and Languages"	"Group"
191	"Josiah Ober"	"Individual"
193	"Julie Sweetkind-Singer"	"Individual"
194	"Patricia Carbajales"	"Individual"
195	"Matt Pearson"	"Individual"
196	"Morgan Elmore"	"Individual"
197	"Rare Map Collection"	"Group"
198	"Branner GIS Lab"	"Group"
200	"University of Oklahoma"	"Group"
201	"Robert McNamee"	"Individual"
202	"Mark Rogerson"	"Individual"
203	"Peter Damian-Grint"	"Individual"
204	"Oxford"	"Group"
205	"Stanford Humanities Lab"	"Group"
206	"Bibliographia Universalis Antiquaria"	"Product"
207	"Creative Engines"	"Product"
208	"Crowds II"	"Product"
209	"Cultural Hotspots"	"Product"
210	"Gallerie Della Memoria"	"Product"
211	"Global Art Lab"	"Product"
212	"How They Got Game"	"Product"
213	"HumanTech"	"Product"
214	"Life Squared"	"Product"
215	"Metaverse U"	"Product"
216	"Preserving Virtual Worlds"	"Product"
217	"Public Knowledge at Stanford"	"Product"
218	"Speed Limits"	"Product"
219	"Stanford Open Source Lab"	"Product"
220	"Stanford Strategy Center"	"Product"
221	"Henry Lowood"	"Individual"
222	"The Machinima Archive"	"Product"
224	"Matteo Bittanti"	"Individual"
225	"Dena Debry"	"Individual"
226	"Gordon Knox"	"Individual"
227	"Metamedia"	"Group"
228	"Stanford Map Warper"	"Product"
229	"Center for Computer Assisted Research in the Humanities"	"Group"
230	"MuseData"	"Product"
231	"HumDrum"	"Product"
232	"Database of Opera Dedications"	"Product"
233	"Eleanor Selfridge-Field  "	"Individual"
234	"Themefinder"	"Product"
235	"Calendar Reconciliation"	"Product"
236	"Shelley Fisher Fishkin"	"Individual"
237	"American Studies Program"	"Group"
238	"UC Santa Barbara"	"Group"
239	"Edward N. Zalta"	"Individual"
240	"Uri Nodelman"	"Individual"
241	"Colin Allen"	"Individual"
242	"Indiana University"	"Group"
243	"InPhO"	"Group"
244	"Metaphysics Research Lab"	"Group"
245	"Principia Metaphysica"	"Product"
246	"Center for Study of Language and Information"	"Group"
247	"Authorial London"	"Product"
248	"Martin Evans"	"Individual"
249	"Parker on the Web"	"Product"
250	"Corpus Christi College"	"Group"
251	"Catherine A. Aster"	"Individual"
252	"Jon Bschofberger"	"Individual"
253	"Doris Cheung"	"Individual"
254	"Susan Flaherty"	"Individual"
255	"Jennie Floyd"	"Individual"
256	"Emma Gorst"	"Individual"
257	"Christopher Jesudurai"	"Individual"
258	"Douglas Kim"	"Individual"
259	"Oleg Lyutov"	"Individual"
260	"Harley Mine"	"Individual"
261	"Michael Olson"	"Individual"
262	"Alison Parks-Whitfield"	"Individual"
263	"Daniel Sanchez"	"Individual"
264	"Stuart K. Snydman"	"Individual"
265	"Jenna Venturini"	"Individual"
266	"Amber Weathers"	"Individual"
267	"Rebecca Wedl"	"Individual"
268	"Kilpatrick Will"	"Individual"
269	"Nina Yang"	"Individual"
270	"Martin K. Foys"	"Individual"
271	"Hood College"	"Group"
272	"Drew University"	"Group"
273	"Alexandra Gillespie"	"Individual"
274	"University of Toronto"	"Group"
275	"John Haeger"	"Individual"
276	"Andrew C. Herkovic"	"Individual"
277	"Assunta Pisani"	"Individual"
278	"Andrew W. Mellon Foundation"	"Group"
279	"Hans Rütimann"	"Individual"
280	"Jennifer Summit"	"Individual"
281	"Benjamin L Albritton"	"Individual"
283	"Peter Chan"	"Individual"
284	"Tom Cramer"	"Individual"
285	"DLSS"	"Group"
286	"Glynn Edwards"	"Individual"
287	"Kathy Harris"	"Individual"
288	"University of Virginia"	"Group"
289	"Hull University"	"Group"
290	"Stanford Natural Language Processing Group"	"Group"
291	"Chris Manning"	"Individual"
292	"Dan Jurafsky"	"Individual"
293	"Ramesh Nallapati"	"Individual"
294	"Mihai Surdeanu"	"Individual"
295	"David McClosky"	"Individual"
296	"Xiaolin Shi"	"Individual"
297	"Daniel Cer"	"Individual"
298	"Nate Chambers"	"Individual"
299	"Angel Chang"	"Individual"
300	"David Clausen"	"Individual"
301	"Uriel Cohen-Priva"	"Individual"
302	"Sonal Gupta"	"Individual"
303	"Marie Catherine de Marneffe"	"Individual"
304	"Rob Munro"	"Individual"
305	"Daniel Ramage"	"Individual"
306	"Richard Socher"	"Individual"
307	"Valentin Spitkovsky"	"Individual"
308	"Mason Smith"	"Individual"
309	"Adam Vogel"	"Individual"
310	"Mengqiu Wang"	"Individual"
311	"Spence Green"	"Individual"
312	"Nikhil Johri"	"Individual"
313	"Computer Science"	"Group"
314	"Yves Peirsman"	"Individual"
315	"University of Colorado"	"Group"
316	"Stanford Parser"	"Product"
317	"Stanford POS Tagger"	"Product"
318	"Stanford Named Entity Recognizer"	"Product"
319	"Stanford Chinese Word Segmenter"	"Product"
320	"Stanford Classifier"	"Product"
321	"Tregex and Tsurgeon"	"Product"
322	"Topic Modeling Toolbox"	"Product"
323	"Entailment-based MT evaluation software"	"Product"
324	"FrameNet Reader"	"Product"
325	"Simple manual annotation tool"	"Product"
326	"Stanford Computer Graphics Lab"	"Group"
327	"Light fields and computational photography"	"Product"
328	"Stanford Light Field Microscope Project"	"Product"
329	"Camera 2.0"	"Product"
330	"Volume rendering"	"Product"
331	"Spreadsheets for images"	"Product"
332	"Stanford CityBlock Project"	"Product"
333	"Creating digital archives of 3D artworks"	"Product"
334	"Project to build a 3D fax machine"	"Product"
335	"The Stanford Spherical Gantry"	"Product"
336	"Compression of synthetic images"	"Product"
337	"Stanford Immersive Television Project"	"Product"
338	"Texture Analysis and Synthesis"	"Product"
339	"The Digital Michelangelo Project"	"Product"
340	"Digital Forma Urbis Romae Project"	"Product"
341	"The Stanford Multi-Camera Array"	"Product"
342	"Responsive workbench"	"Product"
343	"FLASH graphics systems"	"Product"
344	"MultiGraphics"	"Product"
345	"Interactive Workspaces"	"Product"
346	"Rendering algorithms"	"Product"
347	"RIVET: Visualization of computer systems"	"Product"
348	"Polaris: Interactive database visualization"	"Product"
349	"Real-time programmable shading"	"Product"
350	"Movement Project"	"Product"
351	"Cunieform Tablet Visualization Project"	"Product"
352	"Stanford Immersive Television Project"	"Product"
353	"Mark Levoy"	"Individual"
354	"Electrical Engineering"	"Group"
355	"SEASR"	"Group"
356	"Dan Cohen"	"Individual"
357	"George Mason"	"Group"
358	"Tanya Clement"	"Individual"
359	"University of Maryland"	"Group"
360	"Ted Underwood"	"Individual"
361	"John Unsworth"	"Individual"
362	"University of Illinois - Urbana Champaigne"	"Group"
363	"Michael Welge"	"Individual"
364	"Loretta Anvil"	"Individual"
365	"Automated Learning Group"	"Group"
366	"National Center for Supercomputing Applications"	"Group"
367	"Connie Brooks"	"Individual"
368	"Jim Coleman"	"Individual"
369	"Eleanore Stewert"	"Individual"
370	"Katherine Martinez"	"Individual"
371	"Linda Zimmerman"	"Individual"
372	"Greg Niemeyer"	"Individual"
373	"Wayne Vanderkuil"	"Individual"
374	"Bob Savage"	"Individual"
375	"Walter Henry"	"Individual"
376	"Maria Grandinette"	"Individual"
377	"Beth Ryan"	"Individual"
378	"Leslie Kruth"	"Individual"
379	"Dennis Blake"	"Individual"
380	"Peter Burchard"	"Individual"
381	"Vitus Tang"	"Individual"
382	"Dime Novels and Penny Dreadfuls"	"Product"
383	"MouseSite"	"Product"
384	"Douglas Menuez Photography Collection"	"Product"
385	"Lauren Scott"	"Individual"
386	"Tel Aviv Collection"	"Product"
387	"Zachary Baker"	"Individual"
388	"Anna Levia"	"Individual"
389	"Mary Web Digital Archive"	"Product"
390	"Annette Keogh"	"Individual"
391	"Mary Crawford"	"Individual"
392	"Bruce Crawford"	"Individual"
393	"Association for the Advancement of Artificial Intelligence"	"Group"
394	"The History of Artificial Intelligence"	"Product"
395	"Hannah Frost"	"Individual"
396	"Medieval and Modern Thought Text Digitization Project"	"Group"
397	"Smart Family Foundation"	"Group"
398	"Allan Morgan Standish bookfund"	"Group"
399	"John Rawlings"	"Individual"
400	"The Monterey Jazz Festival Collection"	"Product"
401	"GRAMMY Foundation"	"Group"
402	"National Historical Publications and Records Commission"	"Group"
403	"Save America's Treasures"	"Group"
404	"Jerry McBride"	"Individual"
405	"R. Buckminster Fuller Collection"	"Product"
406	"National Endowment for the Humanities"	"Group"
407	"National Parks Service"	"Group"
408	"National Trust for Historic Preservation"	"Group"
409	"Stanford Historical Photograph Collection"	"Product"
410	"Kircher Correspondence Collection"	"Product"
411	"The Super Enlightenment"	"Product"
413	"Princeton"	"Group"
414	"Château d’Oron"	"Group"
415	"Éditions d’histoire sociale internationale"	"Group"
416	"University of Pennsylvania"	"Group"
417	"Aimee Morgan"	"Individual"
418	"Museo Galileo"	"Group"
419	"Pontifical Gregorian University"	"Group"
420	"European University Institute"	"Group"
421	"FRENLIT 204"	"Product"
422	"FRENLIT 120"	"Product"
423	"The Super-Enlightenment: Daring to Know Too Much"	"Product"
424	"The Enlightenment: A Genealogy"	"Product"
425	"The Terror of Natural Right: Republicanism, the Cult of Nature, and the French Revolution"	"Product"
426	"IHUM 3"	"Product"
427	"FRENGEN 163"	"Product"
428	"Hive Talkin'"	"Product"
429	"Program in the History and Philosophy of Technology & Science"	"Group"
430	"Center for Medieval and Early Modern Studies"	"Group"
431	"Suppes Center for the Interdisciplinary Study of Science and Technology"	"Group"
432	"Possessing Nature: Museums, Collecting, and Scientific Culture in Early Modern Italy"	"Product"
433	"Merchants and Marvels: Commerce, Science, and Art in Early Modern Europe"	"Product"
434	"Beyond Florence: The Contours of Medieval and Early Modern Italy"	"Product"
435	"A Fragmentary Past: The Making of Museums in Late Renaissance Italy"	"Product"
436	"DH@Stanford Roundtable"	"Joke"
437	"Jake Coolidge"	"Individual"
438	"Katja Zelljadt"	"Individual"
439	"Geoff McGee"	"Individual"
440	"The Rural West Initiative"	"Group"
441	"Water in the West"	"Group"
442	"John McChesney"	"Individual"
443	"Woods Institute for the Environment"	"Group"
444	"Barton H. “Buzz” Thompson"	"Individual"
445	"Rebecca Nelson"	"Individual"
446	"Jessica Ann Reeves"	"Individual"
447	"Rio Akasaka"	"Individual"
448	"Yin Feng qin"	"Individual"
449	"Nandoo Jayakamur"	"Individual"
450	"Dan Cheng"	"Individual"
451	"Shiwei Song"	"Individual"
452	"Yuankai Ge"	"Individual"
454	"Andrew Roubichaud"	"Individual"
455	"Carrie Denning"	"Individual"
456	"Amanda Cravens"	"Individual"
457	"Republic of Letters Visualization"	"Product"
458	"Mapping Historical Texts"	"Group"
459	"Rosemary Knight"	"Individual"
460	"Geophysics"	"Group"
461	"Presidential Fund for Innovation in the Humanities"	"Group"
462	"Pat Hanrahan"	"Individual"
463	"Jeff Heer"	"Individual"
464	"Office of the Digital Humanities"	"Group"
465	"Digging into Data"	"Group"
466	"University of North Texas"	"Group"
467	"Andrew Torgut"	"Individual"
468	"Narrative and Database in the Representation of Biodiversity Loss"	"Group"
469	"Alex Woloch"	"Individual"
470	"David Riggs"	"Individual"
471	"Shakebase"	"Product"
472	"Digital Humanites: Beyond the Book"	"Product"
473	"Introduction to Digital Humanites"	"Product"
474	"LitLab course"	"Product"
475	"The Association for Computing in the Humaniteis"	"Group"
476	"19th Century Novel Titles Project"	"Group"
477	"Graphs Maps and Trees"	"Product"
478	"The Chronicle of Higher Education"	"Product"
479	"The New York Times"	"Product"
480	"The Irish American West Project"	"Group"
481	"19th Century Novel Titles Project Essay in Critical Inquiry"	"Product"
482	"The Western Institute for Irish Studies"	"Group"
483	"The Irish-American Literature Database and text archive"	"Product"
484	"The Text Analysis Developers Alliance"	"Group"
485	"The Association of Literary and Linguistic Computing"	"Group"
489	"Social Science and Humanities Research Council of Canada"	"Group"
487	"NEH/DOE Humanities High Performance Computing Grants"	"Product"
488	"Swiss National Science Foundation"	"Group"
490	"Matt Jockers' Digital Humanites Blog"	"Product"
495	"David Palumbo-Liu"	"Individual"
491	"The Auden Geneology"	"Product"
492	"1930s Project"	"Group"
493	"Stanford Institute for Creativity and the Arts Grant"	"Product"
494	"Presidential Fund For Innovation in the Humanities Grant"	"Product"
